Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
124,Kazakhstan,28.1,11.5,20.2,25,26.4,38.1
125,Turkey,28.1,7.2,18.1,23.2,18.3,31
126,Algeria,27.6,4.3,16.5,30.1,13.6,26.9
127,Uzbekistan,27,10.7,19.2,25.4,22.9,24.8
128,Ghana,26.7,14.6,20.9,26.5,23.6,17.2
129,Bangladesh,26.6,3.2,15.4,25.2,16.6,26.9
130,Tunisia,26.5,5,16.2,25.6,14.4,30
131,Syria,26.1,4.5,15.7,23.7,19,5.5
132,Kyrgyzstan,25.9,9.3,18,24.7,23.5,25.5
133,Ukraine,25.6,8.1,17.2,22.2,21.2,38.1
134,Sri Lanka,25.3,5.4,15.8,31,12,16
135,Nepal,24.8,3.7,14.7,22.8,17.3,21.8
136,Libya,24.2,5.2,15.1,23.1,19.3,32.1
137,Colombia,23.1,7,15.4,21,17.3,31.1
138,India,22.4,5.5,14.3,23.3,15.7,64.6
139,Egypt,21.6,4.3,13.3,19.6,18,21.9
140,Pakistan,18,3.4,11,15.4,13.7,24.4
