Company Name
"Tesla, Inc."
Microsoft Corporation
Procter & Gamble Company
"Meta Platforms, Inc."
"Amazon.com, Inc."
Alphabet Inc.
"Advanced Micro Devices, Inc."
Apple Inc.
"Netflix, Inc."
Taiwan Semiconductor Manufacturing Company Limited
The Coca-Cola Company
Ford Motor Company
Costco Wholesale Corporation
The Walt Disney Company
Verizon Communications Inc.
"Salesforce, Inc."
Intel Corporation
The Boeing Company
Blackstone Inc.
Northrop Grumman Corporation
"PayPal Holdings, Inc."
"Enphase Energy, Inc."
NIO Inc.
"Zscaler, Inc."
XPeng Inc.
